seen_count,alsa,pick_count,ata,game_count,win_rate,sideboard_game_count,sideboard_win_rate,opening_hand_game_count,oh wr,drawn_game_count,drawn_win_rate,ever_drawn_game_count,gd wr,never_drawn_game_count,never_drawn_win_rate,iwd,name,color,rarity,url,url_back,expansion,id,types
28159,6.5981036,3868,9.2988625,6419,0.53590902,0,,805,0.54658385,1321,0.51476154,2038,0.52993131,2630,0.55171103,-0.021779719999999947,Allied Assault,W,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/3/4/340df0d4-9848-4372-9f45-a73a8e94058a.jpg?1604195342,,ZNR,73183,Instant
1129,1.5447298,710,1.5,3007,0.54938477,0,,332,0.56927711,661,0.58396369,893,0.58790594,1265,0.52094862,0.06695731999999999,Angel of Destiny,W,mythic,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/9/8/9897074a-0ac4-4d1a-9aac-e77830cc5c78.jpg?1604195368,,ZNR,73184,Creature - Angel Cleric
74747,6.1002181,10550,8.6123223,27054,0.5356694,0,,4379,0.51678465,6680,0.5244012,9708,0.526267,10589,0.54396071,-0.017693709999999974,Angelheart Protector,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/c/0/c06cc03f-da73-4ba5-96c9-618b497a7ea3.jpg?1604195388,,ZNR,73185,Creature - Human Cleric
4402,3.0885961,869,3.7560414,2621,0.51583365,0,,314,0.48089172,499,0.53907816,759,0.51119895,1059,0.503305,0.007893950000000038,Archon of Emeria,W,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/2/2/228c1650-da3c-4099-91b6-18e3873c9cdb.jpg?1604195419,,ZNR,73186,Creature - Archon
3598,2.4974986,1237,2.7671787,5170,0.55203095,0,,729,0.61591221,1084,0.56088561,1755,0.58575499,2238,0.54244861,0.04330637999999998,Archpriest of Iona,W,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/f/7/f7dc61e4-46e3-473b-90f8-27e71e1088e8.jpg?1604195451,,ZNR,73187,Creature - Human Cleric
13781,3.1327915,4418,3.4495247,16203,0.5434796,0,,2527,0.56865849,4181,0.57498206,5822,0.57214016,6428,0.52100187,0.05113829000000003,Attended Healer,W,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/6/c/6ca80b5a-3943-41ca-8cd1-8e3db1b2a1c8.jpg?1604195482,,ZNR,73188,Creature - Kor Cleric
20271,4.6408663,2770,6.3516245,7434,0.51627657,0,,868,0.46428571,1295,0.49498069,2036,0.48280943,2623,0.53221502,-0.04940559,Canyon Jerboa,W,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/2/6/26b3938e-ebd7-4668-be3a-422c02ff5b08.jpg?1604195520,,ZNR,73189,Creature - Mouse
20271,4.6408663,2770,6.3516245,7434,0.51627657,0,,868,0.46428571,1295,0.49498069,2036,0.48280943,2623,0.53221502,-0.04940559,Canyon Jerboa,W,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/2/6/26b3938e-ebd7-4668-be3a-422c02ff5b08.jpg?1604195520,,ZNR,74658,Creature - Mouse
77011,6.4472478,11991,8.9805688,31137,0.54687349,0,,5891,0.56459005,8505,0.52169312,12427,0.54365494,12507,0.55608859,-0.012433649999999963,Cliffhaven Sell-Sword,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/7/f/7f334767-4353-4379-a934-fa67075db439.jpg?1604195546,,ZNR,73190,Creature - Kor Warrior
84136,7.6286251,9514,11.052344,8958,0.52288457,0,,1023,0.49462366,1693,0.51624335,2631,0.51349297,3687,0.53702197,-0.02352899999999991,Dauntless Unity,W,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/b/1/b12a4d17-68e6-4133-99fd-e501e24e6c6b.jpg?1604195576,,ZNR,73191,Instant
